system,concurrency,tx,count,avg,min,max,p50,p90,p95,p99
withkafka,8,1000,1000,78.358000,22,245,72,124,143,197
withkafka,16,1000,1000,85.382000,20,189,83,125,137,164
withkafka,4,1000,1000,41.828000,14,117,42,57,62,77
withkafka,2,1000,1000,26.905000,11,102,24,43,48,61
withkafka,16,2000,2000,73.062500,22,163,71,99,109,126
withkafka,16,4000,4000,69.447500,22,169,69,93,102,117
withkafka,16,8000,8000,68.577375,21,153,68,91,98,113
withkafka,1,1000,1000,20.518000,13,57,19,25,29,40
baseline,1,1000,1000,21.400000,11,63,19,30,39,52
baseline,2,1000,1000,23.141000,11,66,21,30,38,50
baseline,4,1000,1000,33.753000,13,83,31,50,56,66
baseline,8,1000,1000,53.388000,16,120,52,73,80,96
baseline,16,1000,1000,73.101000,24,181,71,104,114,137
